,date,National Team,Rating
128,1903-02-14,Scotland,80.78425911984604
129,1903-02-28,Scotland,81.62830906045552
130,1903-03-14,Scotland,81.62830906045552
131,1903-03-21,Scotland,82.14571393008823
132,1903-08-15,Scotland,82.14571393008823
133,1904-01-09,Scotland,82.14571393008823
134,1904-02-06,Scotland,80.80373515529037
135,1904-02-13,Scotland,80.80373515529037
136,1904-02-27,Scotland,81.58611365001288
137,1904-03-12,Scotland,81.58611365001288
138,1904-03-19,Scotland,82.29105283684848
139,1905-01-14,Scotland,82.29105283684848
140,1905-02-04,Scotland,81.40282167789594
141,1905-02-11,Scotland,81.40282167789594
142,1905-02-25,Scotland,80.07895026660886
143,1905-03-11,Scotland,80.07895026660886
144,1905-03-18,Scotland,80.6846650750283
145,1905-09-02,Scotland,80.6846650750283
146,1905-11-18,Scotland,79.83619856752547
147,1905-11-25,Scotland,79.83619856752547
148,1905-12-02,Scotland,79.83619856752547
149,1905-12-16,Scotland,79.83619856752547
150,1906-01-01,Scotland,79.83619856752547
151,1906-01-13,Scotland,79.83619856752547
152,1906-02-03,Scotland,79.42056004593516
153,1906-02-10,Scotland,79.42056004593516
154,1906-02-24,Scotland,80.38620936267064
155,1906-03-10,Scotland,80.38620936267064
156,1906-03-17,Scotland,78.81546660786219
157,1906-03-22,Scotland,78.81546660786219
158,1906-11-17,Scotland,79.93391994707598
159,1906-11-24,Scotland,79.93391994707598
160,1906-12-01,Scotland,79.93391994707598
161,1906-12-08,Scotland,79.93391994707598
162,1907-01-05,Scotland,79.93391994707598
163,1907-01-12,Scotland,79.93391994707598
164,1907-02-02,Scotland,81.33056008059089
165,1907-02-09,Scotland,81.33056008059089
166,1907-02-23,Scotland,82.17741431883123
167,1907-03-09,Scotland,82.17741431883123
168,1907-03-16,Scotland,82.73327911094145
169,1907-07-20,Scotland,82.73327911094145
170,1907-08-03,Scotland,82.73327911094145
171,1907-08-10,Scotland,82.73327911094145
172,1908-01-01,Scotland,82.73327911094145
173,1908-01-18,Scotland,82.73327911094145
174,1908-02-01,Scotland,81.85699827173916
175,1908-02-08,Scotland,81.85699827173916
176,1908-02-29,Scotland,80.36961019715983
177,1908-03-02,Scotland,80.36961019715983
178,1908-03-14,Scotland,80.36961019715983
179,1908-03-21,Scotland,81.22948442011725
180,1908-12-12,Scotland,81.22948442011725
181,1909-01-09,Scotland,81.22948442011725
182,1909-01-16,Scotland,81.22948442011725
183,1909-01-30,Scotland,81.22948442011725
184,1909-02-06,Scotland,80.66451566349613
185,1909-02-13,Scotland,80.66451566349613
186,1909-02-23,Scotland,80.66451566349613
187,1909-02-27,Scotland,81.30757806107356
188,1909-03-13,Scotland,81.30757806107356
189,1909-03-20,Scotland,82.08050508078416
190,1910-01-01,Scotland,82.08050508078416
191,1910-01-15,Scotland,82.08050508078416
192,1910-01-22,Scotland,82.28801756732257
193,1910-02-05,Scotland,81.42689485699498
194,1910-02-11,Scotland,81.42689485699498
195,1910-02-26,Scotland,82.02487033001924
196,1910-03-03,Scotland,82.02487033001924
197,1910-03-12,Scotland,82.02487033001924
198,1910-03-19,Scotland,80.82713086568404
199,1910-03-28,Scotland,80.82713086568404
200,1910-06-25,Scotland,80.82713086568404
201,1910-06-27,Scotland,80.82713086568404
202,1910-07-02,Scotland,80.82713086568404
203,1911-01-02,Scotland,78.97008586940817
204,1911-01-21,Scotland,78.97008586940817
205,1911-01-28,Scotland,78.97008586940817
206,1911-02-04,Scotland,78.45185240383424
207,1911-02-11,Scotland,78.45185240383424
208,1911-02-25,Scotland,77.45802200331109
209,1911-02-28,Scotland,77.45802200331109
210,1911-03-11,Scotland,77.45802200331109
211,1911-03-18,Scotland,76.6854213004935
212,1911-03-25,Scotland,76.6854213004935
213,1912-01-01,Scotland,76.6854213004935
