,Year,Team 1,Team 1 rank,Team 1 Score,Team 2,Team 2 rank,Team 2 Score,Result,country,world_cup
648,1984,England,5.0,12,Ireland,8.0,9,England,England,False
649,1984,Ireland,8.0,9,Scotland,4.0,32,Ireland,Ireland,False
650,1984,France,2.0,32,England,6.0,18,France,France,False
647,1984,Wales,7.0,16,France,3.0,21,Wales,Wales,False
673,1985,Wales,6.0,24,England,8.0,15,Wales,Wales,False
679,1985,Argentina,9.0,20,New Zealand,2.0,33,Argentina,Argentina,False
678,1985,Argentina,9.0,15,France,4.0,23,Argentina,Argentina,False
677,1985,New Zealand,2.0,10,Australia,3.0,9,New Zealand,New Zealand,False
676,1985,Argentina,8.0,24,France,4.0,16,Argentina,Argentina,False
675,1985,New Zealand,2.0,42,England,8.0,15,New Zealand,New Zealand,False
674,1985,New Zealand,2.0,18,England,8.0,13,New Zealand,New Zealand,False
680,1985,Argentina,8.0,21,New Zealand,2.0,21,Draw,Argentina,False
672,1985,Ireland,5.0,13,England,7.0,10,Ireland,Ireland,False
670,1985,Wales,6.0,9,Ireland,5.0,21,Wales,Wales,False
669,1985,England,7.0,10,Scotland,8.0,7,England,England,False
668,1985,Scotland,7.0,21,Wales,5.0,25,Scotland,Scotland,False
667,1985,Ireland,6.0,15,France,4.0,15,Draw,Ireland,False
666,1985,France,4.0,11,Scotland,5.0,3,France,France,False
665,1985,Scotland,5.0,15,Ireland,7.0,18,Scotland,Scotland,False
664,1985,England,8.0,9,France,4.0,9,Draw,England,False
671,1985,France,4.0,14,Wales,6.0,3,France,France,False
694,1986,Australia,3.0,27,France,4.0,14,Australia,Australia,False
695,1986,New Zealand,2.0,18,France,4.0,9,New Zealand,New Zealand,False
696,1986,Australia,3.0,39,Argentina,7.0,19,Australia,Australia,False
697,1986,Australia,3.0,26,Argentina,7.0,0,Australia,Australia,False
700,1986,New Zealand,3.0,9,Australia,2.0,22,New Zealand,New Zealand,False
699,1986,New Zealand,2.0,13,Australia,3.0,12,New Zealand,New Zealand,False
702,1986,France,4.0,16,New Zealand,3.0,3,France,France,False
701,1986,France,4.0,7,New Zealand,3.0,19,France,France,False
693,1986,Argentina,7.0,9,France,4.0,22,Argentina,Argentina,False
698,1986,New Zealand,3.0,12,Australia,2.0,13,New Zealand,New Zealand,False
692,1986,Australia,3.0,39,Italy,10.0,18,Australia,Australia,False
683,1986,Wales,5.0,22,Scotland,8.0,15,Wales,Wales,False
690,1986,Ireland,9.0,9,Scotland,5.0,10,Ireland,Ireland,False
689,1986,France,4.0,29,England,8.0,10,France,France,False
688,1986,England,7.0,25,Ireland,9.0,20,England,England,False
687,1986,Wales,6.0,15,France,4.0,23,Wales,Wales,False
686,1986,Scotland,6.0,33,England,9.0,6,Scotland,Scotland,False
685,1986,Ireland,7.0,12,Wales,5.0,19,Ireland,Ireland,False
684,1986,France,4.0,29,Ireland,6.0,9,France,France,False
682,1986,Scotland,6.0,18,France,5.0,17,Scotland,Scotland,False
681,1986,England,8.0,21,Wales,7.0,18,England,England,False
691,1986,Argentina,7.0,15,France,4.0,13,Argentina,Argentina,False
2280,1987,France,,70,Zimbabwe,,12,France,New Zealand,True
2281,1987,Canada,,9,Wales,,40,Wales,New Zealand,True
2282,1987,England,,34,United States of America,,6,England,New Zealand,True
2283,1987,Ireland,,32,Tonga,,9,Ireland,New Zealand,True
2284,1987,Australia,,42,Japan,,23,Australia,New Zealand,True
2289,1987,Australia,,24,France,,30,France,New Zealand,True
2286,1987,Fiji,,16,France,,31,France,New Zealand,True
2287,1987,Australia,,33,Ireland,,15,Australia,New Zealand,True
2288,1987,England,,3,Wales,,16,Wales,New Zealand,True
2279,1987,Romania,,28,Scotland,,55,Scotland,New Zealand,True
2290,1987,New Zealand,,49,Wales,,6,New Zealand,New Zealand,True
2291,1987,Australia,,21,Wales,,22,Wales,New Zealand,True
2285,1987,New Zealand,,30,Scotland,,3,New Zealand,New Zealand,True
2278,1987,New Zealand,,46,Argentina,,15,New Zealand,New Zealand,True
2273,1987,Canada,,19,Ireland,,46,Ireland,New Zealand,True
2276,1987,Fiji,,15,Italy,,18,Italy,New Zealand,True
2275,1987,England,,60,Japan,,7,England,New Zealand,True
2274,1987,Scotland,,60,Zimbabwe,,21,Scotland,New Zealand,True
2272,1987,Tonga,,16,Wales,,29,Wales,New Zealand,True
2271,1987,France,,55,Romania,,12,France,New Zealand,True
2270,1987,Argentina,,25,Italy,,16,Argentina,New Zealand,True
2269,1987,New Zealand,,74,Fiji,,13,New Zealand,New Zealand,True
2268,1987,Ireland,,6,Wales,,13,Wales,New Zealand,True
2267,1987,Japan,,18,United States of America,,21,United States of America,New Zealand,True
2266,1987,Argentina,,9,Fiji,,28,Fiji,New Zealand,True
2265,1987,Canada,,37,Tonga,,4,Canada,New Zealand,True
2264,1987,Australia,,19,England,,6,Australia,New Zealand,True
2263,1987,Romania,,21,Zimbabwe,,20,Romania,New Zealand,True
2292,1987,New Zealand,,29,France,,9,New Zealand,New Zealand,True
2277,1987,Australia,,47,United States of America,,12,Australia,New Zealand,True
2262,1987,France,,20,Scotland,,20,Draw,New Zealand,True
2261,1987,New Zealand,,70,Italy,,6,New Zealand,New Zealand,True
717,1987,Argentina,7.0,25,Italy,10.0,16,Argentina,New Zealand,True
727,1987,Argentina,7.0,19,Australia,5.0,19,Draw,Argentina,False
726,1987,Australia,5.0,16,New Zealand,1.0,30,Australia,Australia,False
725,1987,New Zealand,1.0,29,France,3.0,9,New Zealand,New Zealand,True
724,1987,Australia,5.0,21,Wales,4.0,22,Australia,New Zealand,True
723,1987,New Zealand,1.0,49,Wales,5.0,6,New Zealand,Australia,True
722,1987,Australia,4.0,24,France,3.0,30,Australia,Australia,True
721,1987,England,9.0,3,Wales,5.0,16,England,Australia,True
720,1987,Australia,3.0,33,Ireland,9.0,15,Australia,Australia,True
719,1987,New Zealand,2.0,30,Scotland,6.0,3,New Zealand,New Zealand,True
718,1987,New Zealand,3.0,46,Argentina,7.0,15,New Zealand,New Zealand,True
716,1987,Ireland,9.0,6,Wales,6.0,13,Ireland,New Zealand,True
728,1987,Argentina,6.0,27,Australia,5.0,19,Argentina,Argentina,False
715,1987,France,4.0,20,Scotland,5.0,20,Draw,New Zealand,True
713,1987,New Zealand,3.0,70,Italy,10.0,6,New Zealand,New Zealand,True
712,1987,Wales,8.0,11,Ireland,6.0,15,Wales,Wales,False
711,1987,England,9.0,21,Scotland,5.0,12,England,England,False
710,1987,Scotland,5.0,21,Wales,6.0,15,Scotland,Scotland,False
709,1987,Ireland,8.0,13,France,4.0,19,Ireland,Ireland,False
708,1987,Wales,6.0,19,England,9.0,12,Wales,Wales,False
707,1987,France,4.0,28,Scotland,5.0,22,France,France,False
706,1987,Scotland,5.0,16,Ireland,8.0,12,Scotland,Scotland,False
705,1987,England,9.0,15,France,4.0,19,England,England,False
704,1987,Ireland,7.0,17,England,9.0,0,Ireland,Ireland,False
703,1987,France,4.0,16,Wales,6.0,9,France,France,False
714,1987,Australia,2.0,19,England,9.0,6,Australia,Australia,True
731,1988,England,9.0,3,Wales,3.0,11,England,England,False
730,1988,Ireland,8.0,22,Scotland,7.0,18,Ireland,Ireland,False
735,1988,Scotland,7.0,6,England,9.0,9,Scotland,Scotland,False
732,1988,Scotland,6.0,23,France,4.0,12,Scotland,Scotland,False
729,1988,France,3.0,10,England,9.0,9,France,France,False
734,1988,France,4.0,25,Ireland,8.0,6,France,France,False
738,1988,Wales,4.0,9,France,3.0,10,Wales,Wales,False
748,1988,Australia,5.0,9,New Zealand,1.0,30,Australia,Australia,False
754,1988,Ireland,9.0,31,Italy,10.0,15,Ireland,Ireland,False
753,1988,Italy,10.0,6,Australia,5.0,55,Italy,Italy,False
751,1988,France,3.0,28,Argentina,6.0,18,France,France,False
750,1988,France,3.0,29,Argentina,6.0,9,France,France,False
749,1988,England,7.0,28,Australia,5.0,19,England,England,False
736,1988,Ireland,8.0,9,Wales,3.0,12,Ireland,Ireland,False
737,1988,England,7.0,35,Ireland,9.0,3,England,England,False
733,1988,Wales,3.0,25,Scotland,7.0,20,Wales,Wales,False
752,1988,Scotland,8.0,13,Australia,5.0,32,Scotland,Scotland,False
740,1988,New Zealand,1.0,52,Wales,4.0,3,New Zealand,New Zealand,False
739,1988,Ireland,9.0,10,England,7.0,21,Ireland,Ireland,False
746,1988,Australia,5.0,7,New Zealand,1.0,32,Australia,Australia,False
745,1988,Argentina,6.0,18,France,3.0,6,Argentina,Argentina,False
747,1988,Australia,4.0,19,New Zealand,1.0,19,Draw,Australia,False
743,1988,Australia,5.0,28,England,8.0,8,Australia,Australia,False
742,1988,New Zealand,1.0,54,Wales,4.0,9,New Zealand,New Zealand,False
741,1988,Australia,5.0,22,England,7.0,16,Australia,Australia,False
744,1988,Argentina,6.0,15,France,3.0,18,Argentina,Argentina,False
767,1989,New Zealand,1.0,34,France,3.0,20,New Zealand,New Zealand,False
766,1989,Argentina,7.0,21,Italy,10.0,16,Argentina,Argentina,False
765,1989,New Zealand,1.0,25,France,3.0,17,New Zealand,New Zealand,False
764,1989,Wales,6.0,12,England,5.0,9,Wales,Wales,False
763,1989,France,3.0,19,Scotland,7.0,3,France,France,False
762,1989,England,5.0,11,France,3.0,0,England,England,False
760,1989,Ireland,9.0,3,England,5.0,16,Ireland,Ireland,False
759,1989,France,3.0,31,Wales,8.0,12,France,France,False
758,1989,England,8.0,12,Scotland,6.0,12,Draw,England,False
756,1989,Scotland,7.0,23,Wales,5.0,7,Scotland,Scotland,False
755,1989,Ireland,9.0,21,France,3.0,26,Ireland,Ireland,False
761,1989,Scotland,6.0,37,Ireland,9.0,21,Scotland,Scotland,False
757,1989,Wales,7.0,13,Ireland,9.0,19,Wales,Wales,False
768,1989,New Zealand,1.0,60,Argentina,5.0,9,New Zealand,New Zealand,False
771,1989,Wales,6.0,9,New Zealand,1.0,34,Wales,Wales,False
769,1989,New Zealand,1.0,49,Argentina,5.0,12,New Zealand,New Zealand,False
770,1989,New Zealand,1.0,24,Australia,4.0,12,New Zealand,New Zealand,False
772,1989,France,4.0,15,Australia,3.0,32,France,France,False
773,1989,France,3.0,25,Australia,4.0,19,France,France,False
774,1989,Ireland,9.0,6,New Zealand,1.0,23,Ireland,Ireland,False
782,1990,Wales,8.0,9,Scotland,5.0,13,Wales,Wales,False
781,1990,France,6.0,31,Ireland,9.0,12,France,France,False
779,1990,Scotland,5.0,21,France,6.0,0,Scotland,Scotland,False
778,1990,Ireland,9.0,10,Scotland,7.0,13,Ireland,Ireland,False
775,1990,Wales,8.0,19,France,3.0,29,Wales,Wales,False
776,1990,England,5.0,23,Ireland,9.0,0,England,England,False
783,1990,Scotland,3.0,13,England,5.0,7,Scotland,Scotland,False
797,1990,England,4.0,51,Argentina,7.0,0,England,England,False
798,1990,Scotland,4.0,49,Argentina,7.0,3,Scotland,Scotland,False
777,1990,France,5.0,7,England,4.0,26,France,France,False
784,1990,Ireland,9.0,14,Wales,8.0,8,Ireland,Ireland,False
780,1990,England,3.0,34,Wales,8.0,6,England,England,False
799,1990,France,6.0,12,New Zealand,1.0,30,France,France,False
785,1990,Australia,3.0,21,France,6.0,9,Australia,Australia,False
796,1990,France,6.0,3,New Zealand,1.0,24,France,France,False
795,1990,Ireland,8.0,20,Argentina,7.0,18,Ireland,Ireland,False
794,1990,New Zealand,1.0,9,Australia,3.0,21,New Zealand,New Zealand,False
792,1990,Argentina,7.0,15,England,5.0,13,Argentina,Argentina,False
791,1990,Argentina,7.0,12,England,3.0,25,Argentina,Argentina,False
793,1990,New Zealand,1.0,27,Australia,4.0,17,New Zealand,New Zealand,False
789,1990,Australia,3.0,19,France,6.0,28,Australia,Australia,False
788,1990,Australia,3.0,48,France,7.0,31,Australia,Australia,False
787,1990,New Zealand,1.0,21,Scotland,4.0,18,New Zealand,New Zealand,False
786,1990,New Zealand,1.0,31,Scotland,4.0,16,New Zealand,New Zealand,False
790,1990,New Zealand,1.0,21,Australia,4.0,6,New Zealand,New Zealand,False
2311,1991,Wales,,3,Australia,,38,Australia,England,True
2312,1991,Fiji,,15,Romania,,17,Romania,England,True
2313,1991,Argentina,,12,Samoa,,35,Samoa,England,True
2323,1991,New Zealand,,13,Scotland,,6,New Zealand,England,True
2315,1991,France,,19,Canada,,13,France,England,True
2319,1991,Ireland,,18,Australia,,19,Australia,England,True
2317,1991,Scotland,,28,Samoa,,6,Scotland,England,True
2318,1991,France,,10,England,,19,England,England,True
2321,1991,Scotland,,6,England,,9,England,England,True
2320,1991,Canada,,13,New Zealand,,29,New Zealand,England,True
2310,1991,Scotland,,24,Ireland,,15,Scotland,England,True
2316,1991,Japan,,52,Zimbabwe,,8,Japan,England,True
2309,1991,England,,37,United States of America,,9,England,England,True
801,1991,Wales,9.0,6,England,4.0,25,Wales,Wales,False
2307,1991,Canada,,19,Romania,,11,Canada,England,True
2296,1991,Italy,,30,United States of America,,9,Italy,England,True
2295,1991,France,,30,Romania,,3,France,England,True
2293,1991,England,,12,New Zealand,,18,New Zealand,England,True
2324,1991,England,,6,Australia,,12,Australia,England,True
2298,1991,Canada,,13,Fiji,,3,Canada,England,True
2308,1991,Wales,,16,Argentina,,7,Wales,England,True
2299,1991,Wales,,13,Samoa,,16,Samoa,England,True
2301,1991,New Zealand,,46,United States of America,,6,New Zealand,England,True
2302,1991,England,,36,Italy,,6,England,England,True
2303,1991,France,,33,Fiji,,9,France,England,True
2304,1991,Australia,,9,Samoa,,3,Australia,England,True
2305,1991,Ireland,,32,Japan,,16,Ireland,England,True
2306,1991,Scotland,,51,Zimbabwe,,12,Scotland,England,True
2300,1991,Ireland,,55,Zimbabwe,,11,Ireland,England,True
800,1991,France,6.0,15,Scotland,5.0,9,France,France,False
2297,1991,Scotland,,47,Japan,,9,Scotland,England,True
822,1991,Wales,7.0,3,Australia,3.0,38,Wales,Wales,True
823,1991,New Zealand,1.0,31,Italy,10.0,21,New Zealand,England,True
829,1991,England,4.0,6,Australia,1.0,12,England,England,True
828,1991,New Zealand,3.0,13,Scotland,6.0,6,New Zealand,Wales,True
827,1991,New Zealand,4.0,6,Australia,1.0,16,New Zealand,Ireland,True
826,1991,Scotland,5.0,6,England,4.0,9,Scotland,Scotland,True
825,1991,Ireland,8.0,18,Australia,3.0,19,Ireland,Ireland,True
824,1991,France,6.0,10,England,4.0,19,France,France,True
820,1991,England,5.0,36,Italy,10.0,6,England,England,True
821,1991,Wales,7.0,16,Argentina,9.0,7,Wales,Wales,True
818,1991,Scotland,4.0,24,Ireland,8.0,15,Scotland,Scotland,True
817,1991,England,4.0,12,New Zealand,1.0,18,England,England,True
816,1991,Wales,9.0,9,France,6.0,22,Wales,Wales,False
815,1991,New Zealand,1.0,6,Australia,3.0,3,New Zealand,New Zealand,False
819,1991,Australia,3.0,32,Argentina,7.0,19,Australia,Wales,True
813,1991,Australia,3.0,40,England,4.0,15,Australia,Australia,False
802,1991,Scotland,5.0,32,Wales,9.0,12,Scotland,Scotland,False
814,1991,Australia,3.0,21,New Zealand,1.0,12,Australia,Australia,False
804,1991,England,4.0,21,Scotland,6.0,12,England,England,False
805,1991,Wales,9.0,21,Ireland,8.0,21,Draw,Wales,False
806,1991,France,5.0,36,Wales,9.0,3,France,France,False
803,1991,Ireland,8.0,13,France,6.0,21,Ireland,Ireland,False
808,1991,Scotland,5.0,28,Ireland,8.0,25,Scotland,Scotland,False
809,1991,England,3.0,21,France,6.0,19,England,England,False
810,1991,Argentina,7.0,14,New Zealand,1.0,28,Argentina,Argentina,False
811,1991,Argentina,7.0,6,New Zealand,1.0,36,Argentina,Argentina,False
812,1991,Australia,4.0,63,Wales,9.0,6,Australia,Australia,False
807,1991,Ireland,8.0,7,England,3.0,16,Ireland,Ireland,False
830,1992,Ireland,9.0,15,Wales,7.0,16,Ireland,Ireland,False
831,1992,Scotland,6.0,7,England,4.0,25,Scotland,Scotland,False
832,1992,Wales,7.0,9,France,5.0,12,Wales,Wales,False
833,1992,England,4.0,38,Ireland,9.0,9,England,England,False
834,1992,France,5.0,13,England,4.0,31,France,France,False
835,1992,Ireland,9.0,10,Scotland,6.0,18,Ireland,Ireland,False
836,1992,England,4.0,24,Wales,7.0,0,England,England,False
837,1992,Scotland,5.0,10,France,6.0,6,Scotland,Scotland,False
839,1992,Wales,7.0,15,Scotland,6.0,12,Wales,Wales,False
838,1992,France,5.0,44,Ireland,10.0,12,France,France,False
841,1992,New Zealand,4.0,59,Ireland,9.0,6,New Zealand,New Zealand,False
856,1992,Wales,7.0,6,Australia,1.0,23,Wales,Wales,False
855,1992,England,3.0,33,South Africa,4.0,16,England,England,False
854,1992,France,5.0,20,Argentina,8.0,24,France,France,False
853,1992,Ireland,8.0,17,Australia,1.0,42,Ireland,Ireland,False
852,1992,France,5.0,29,South Africa,4.0,16,France,France,False
851,1992,France,5.0,15,South Africa,4.0,20,France,France,False
840,1992,New Zealand,3.0,24,Ireland,9.0,21,New Zealand,New Zealand,False
850,1992,South Africa,4.0,3,Australia,1.0,26,South Africa,South Africa,False
847,1992,Australia,1.0,19,New Zealand,4.0,17,Australia,Australia,False
846,1992,Argentina,9.0,9,France,5.0,33,Argentina,Argentina,False
845,1992,Argentina,8.0,12,France,5.0,27,Argentina,Argentina,False
844,1992,Australia,1.0,16,New Zealand,4.0,15,Australia,Australia,False
843,1992,Australia,1.0,37,Scotland,6.0,13,Australia,Australia,False
842,1992,Australia,1.0,27,Scotland,6.0,12,Australia,Australia,False
848,1992,Australia,1.0,23,New Zealand,3.0,26,Australia,Australia,False
849,1992,South Africa,3.0,24,New Zealand,2.0,27,South Africa,South Africa,False
866,1993,France,5.0,26,Wales,8.0,10,France,France,False
857,1993,Scotland,5.0,15,Ireland,9.0,3,Scotland,Scotland,False
867,1993,South Africa,4.0,20,France,5.0,20,Draw,South Africa,False
868,1993,South Africa,5.0,17,France,4.0,18,South Africa,South Africa,False
869,1993,New Zealand,1.0,25,Australia,2.0,10,New Zealand,New Zealand,False
870,1993,Australia,2.0,12,South Africa,4.0,19,Australia,Australia,False
864,1993,England,3.0,26,Scotland,6.0,12,England,England,False
872,1993,Australia,2.0,19,South Africa,5.0,12,Australia,Australia,False
873,1993,France,3.0,16,Australia,2.0,13,France,France,False
874,1993,France,4.0,3,Australia,2.0,24,France,France,False
865,1993,Ireland,7.0,17,England,3.0,3,Ireland,Ireland,False
875,1993,Argentina,9.0,26,South Africa,5.0,29,Argentina,Argentina,False
877,1993,Scotland,6.0,15,New Zealand,1.0,51,Scotland,Scotland,False
878,1993,England,3.0,15,New Zealand,2.0,9,England,England,False
863,1993,Wales,7.0,14,Ireland,8.0,19,Wales,Wales,False
862,1993,Scotland,6.0,20,Wales,7.0,0,Scotland,Scotland,False
861,1993,Ireland,9.0,6,France,5.0,21,Ireland,Ireland,False
860,1993,France,5.0,11,Scotland,7.0,3,France,France,False
859,1993,Wales,6.0,10,England,3.0,9,Wales,Wales,False
858,1993,England,2.0,16,France,6.0,15,England,England,False
876,1993,Argentina,9.0,23,South Africa,5.0,52,Argentina,Argentina,False
871,1993,Australia,2.0,28,South Africa,5.0,20,Australia,Australia,False
897,1994,New Zealand,2.0,8,France,5.0,22,New Zealand,New Zealand,False
906,1994,Scotland,9.0,10,South Africa,5.0,34,Scotland,Scotland,False
879,1994,France,4.0,35,Ireland,8.0,15,France,France,False
880,1994,Wales,6.0,29,Scotland,7.0,6,Wales,Wales,False
907,1994,Wales,6.0,12,South Africa,4.0,20,Wales,Wales,False
882,1994,Ireland,8.0,15,Wales,6.0,17,Ireland,Ireland,False
883,1994,England,3.0,12,Ireland,7.0,13,England,England,False
884,1994,Wales,6.0,24,France,5.0,15,Wales,Wales,False
885,1994,Ireland,7.0,6,Scotland,8.0,6,Draw,Ireland,False
886,1994,France,5.0,14,England,3.0,18,France,France,False
887,1994,Scotland,8.0,12,France,5.0,20,Scotland,Scotland,False
888,1994,England,3.0,15,Wales,6.0,8,England,England,False
889,1994,Argentina,8.0,16,Scotland,9.0,15,Argentina,Argentina,False
890,1994,South Africa,5.0,15,England,3.0,32,South Africa,South Africa,False
891,1994,Australia,1.0,33,Ireland,7.0,13,Australia,Australia,False
881,1994,Scotland,7.0,14,England,3.0,15,Scotland,Scotland,False
893,1994,Argentina,8.0,19,Scotland,9.0,17,Argentina,Argentina,False
892,1994,South Africa,4.0,27,England,3.0,9,South Africa,South Africa,False
905,1994,South Africa,5.0,46,Argentina,8.0,26,South Africa,South Africa,False
903,1994,South Africa,5.0,42,Argentina,8.0,22,South Africa,South Africa,False
902,1994,Australia,1.0,20,New Zealand,2.0,16,Australia,Australia,False
901,1994,New Zealand,2.0,18,South Africa,5.0,18,Draw,New Zealand,False
900,1994,New Zealand,2.0,13,South Africa,5.0,9,New Zealand,New Zealand,False
904,1994,Wales,6.0,29,Italy,10.0,19,Wales,Wales,False
898,1994,New Zealand,3.0,20,France,2.0,23,New Zealand,New Zealand,False
896,1994,Australia,2.0,20,Italy,10.0,7,Australia,Australia,False
895,1994,Australia,2.0,23,Italy,10.0,20,Australia,Australia,False
894,1994,Australia,1.0,32,Ireland,7.0,18,Australia,Australia,False
899,1994,New Zealand,2.0,22,South Africa,5.0,14,New Zealand,New Zealand,False
2345,1995,Argentina,,25,Italy,,31,Italy,South Africa,True
2337,1995,Australia,,27,Canada,,11,Australia,South Africa,True
2344,1995,South Africa,,20,Canada,,0,South Africa,South Africa,True
2343,1995,France,,22,Scotland,,19,France,South Africa,True
2342,1995,Australia,,42,Romania,,3,Australia,South Africa,True
2341,1995,Ivory Coast,,11,Tonga,,29,Tonga,South Africa,True
2340,1995,New Zealand,,34,Wales,,9,New Zealand,South Africa,True
2339,1995,England,,27,Italy,,20,England,South Africa,True
2338,1995,Ireland,,50,Japan,,28,Ireland,South Africa,True
2336,1995,Scotland,,41,Tonga,,5,Scotland,South Africa,True
2329,1995,Italy,,18,Samoa,,42,Samoa,South Africa,True
2334,1995,South Africa,,21,Romania,,8,South Africa,South Africa,True
2333,1995,Argentina,,26,Samoa,,32,Samoa,South Africa,True
2332,1995,Ireland,,19,New Zealand,,43,New Zealand,South Africa,True
2330,1995,Japan,,10,Wales,,57,Wales,South Africa,True
2328,1995,Canada,,34,Romania,,3,Canada,South Africa,True
2327,1995,France,,38,Tonga,,10,France,South Africa,True
2326,1995,Ivory Coast,,0,Scotland,,89,Scotland,South Africa,True
2325,1995,South Africa,,27,Australia,,18,South Africa,South Africa,True
2346,1995,Japan,,17,New Zealand,,145,New Zealand,South Africa,True
2335,1995,France,,54,Ivory Coast,,18,France,South Africa,True
2347,1995,Ireland,,24,Wales,,23,Ireland,South Africa,True
941,1995,Argentina,8.0,12,France,3.0,47,Argentina,Argentina,False
2349,1995,France,,36,Ireland,,12,France,South Africa,True
929,1995,France,4.0,36,Ireland,8.0,12,France,South Africa,True
930,1995,England,1.0,25,Australia,2.0,22,England,South Africa,True
931,1995,New Zealand,3.0,48,Scotland,7.0,30,New Zealand,South Africa,True
932,1995,South Africa,4.0,19,France,5.0,15,South Africa,South Africa,True
933,1995,New Zealand,1.0,45,England,4.0,29,New Zealand,South Africa,True
934,1995,England,5.0,9,France,4.0,19,England,South Africa,True
935,1995,South Africa,1.0,15,New Zealand,2.0,12,South Africa,South Africa,True
928,1995,Argentina,9.0,25,Italy,6.0,31,Argentina,South Africa,True
936,1995,New Zealand,2.0,28,Australia,3.0,16,New Zealand,New Zealand,False
938,1995,South Africa,2.0,40,Wales,9.0,11,South Africa,South Africa,False
939,1995,France,3.0,34,Italy,6.0,22,France,Argentina,False
940,1995,Argentina,8.0,26,Italy,9.0,6,Argentina,Argentina,False
942,1995,Italy,9.0,6,New Zealand,1.0,70,Italy,Italy,False
943,1995,France,3.0,22,New Zealand,2.0,15,France,France,False
944,1995,Italy,8.0,21,South Africa,1.0,40,Italy,Italy,False
945,1995,France,3.0,12,New Zealand,1.0,37,France,France,False
937,1995,Australia,4.0,23,New Zealand,1.0,34,Australia,Australia,False
946,1995,England,5.0,14,South Africa,2.0,24,England,England,False
927,1995,Ireland,7.0,24,Wales,10.0,23,Ireland,South Africa,True
924,1995,New Zealand,3.0,34,Wales,8.0,9,New Zealand,South Africa,True
908,1995,France,2.0,21,Wales,6.0,9,France,France,False
909,1995,Ireland,7.0,8,England,5.0,20,Ireland,Ireland,False
910,1995,England,2.0,31,France,5.0,10,England,England,False
911,1995,Scotland,8.0,26,Ireland,7.0,13,Scotland,Scotland,False
912,1995,Wales,6.0,9,England,2.0,23,Wales,Wales,False
913,1995,France,5.0,21,Scotland,7.0,23,France,France,False
914,1995,Ireland,9.0,7,France,5.0,25,Ireland,Ireland,False
926,1995,France,4.0,22,Scotland,6.0,19,France,South Africa,True
915,1995,Scotland,6.0,26,Wales,7.0,13,Scotland,Scotland,False
917,1995,Wales,8.0,12,Ireland,7.0,16,Wales,Wales,False
918,1995,Australia,1.0,53,Argentina,9.0,7,Australia,Australia,False
919,1995,Italy,10.0,22,Ireland,9.0,12,Italy,Italy,False
920,1995,Australia,1.0,30,Argentina,8.0,13,Australia,Australia,False
921,1995,South Africa,4.0,18,Australia,1.0,27,South Africa,South Africa,True
922,1995,Ireland,9.0,19,New Zealand,3.0,43,Ireland,South Africa,True
923,1995,England,2.0,24,Argentina,8.0,18,England,South Africa,True
916,1995,England,2.0,24,Scotland,6.0,12,England,England,False
2348,1995,England,,44,Samoa,,22,England,South Africa,True
925,1995,England,2.0,27,Italy,10.0,20,England,South Africa,True
2350,1995,South Africa,,42,Samoa,,14,South Africa,South Africa,True
2352,1995,New Zealand,,48,Scotland,,30,New Zealand,South Africa,True
2353,1995,South Africa,,19,France,,15,South Africa,South Africa,True
2355,1995,England,,9,France,,19,France,South Africa,True
2356,1995,South Africa,,15,New Zealand,,12,South Africa,South Africa,True
954,1996,Scotland,6.0,9,England,5.0,18,Scotland,Scotland,False
974,1996,Italy,10.0,22,Wales,7.0,31,Italy,Italy,False
975,1996,Italy,10.0,18,Australia,3.0,40,Italy,Italy,False
976,1996,Scotland,6.0,19,Australia,3.0,29,Scotland,Scotland,False
977,1996,Argentina,9.0,15,South Africa,2.0,46,Argentina,Argentina,False
978,1996,Argentina,9.0,21,South Africa,2.0,44,Argentina,Argentina,False
979,1996,Ireland,8.0,12,Australia,3.0,22,Ireland,Ireland,False
983,1996,France,5.0,12,South Africa,2.0,13,France,France,False
981,1996,France,5.0,12,South Africa,2.0,22,France,France,False
982,1996,Wales,7.0,19,Australia,3.0,28,Wales,Wales,False
973,1996,Wales,8.0,33,France,4.0,40,Wales,Wales,False
984,1996,England,4.0,20,Argentina,9.0,18,England,England,False
985,1996,Scotland,6.0,29,Italy,10.0,22,Scotland,Scotland,False
986,1996,Wales,7.0,20,South Africa,2.0,37,Wales,Wales,False
980,1996,England,5.0,54,Italy,10.0,21,England,England,False
955,1996,Ireland,7.0,30,Wales,10.0,17,Ireland,Ireland,False
972,1996,South Africa,2.0,32,New Zealand,1.0,22,South Africa,South Africa,False
970,1996,South Africa,2.0,19,New Zealand,1.0,23,South Africa,South Africa,False
953,1996,France,4.0,45,Ireland,8.0,10,France,France,False
952,1996,Wales,10.0,14,Scotland,6.0,16,Wales,Wales,False
956,1996,Wales,8.0,16,France,5.0,15,Wales,Wales,False
950,1996,Scotland,6.0,19,France,4.0,14,Scotland,Scotland,False
949,1996,Ireland,9.0,10,Scotland,6.0,16,Ireland,Ireland,False
948,1996,France,3.0,15,England,5.0,12,France,France,False
947,1996,Wales,9.0,31,Italy,10.0,26,Wales,Wales,False
957,1996,England,4.0,28,Ireland,9.0,15,England,England,False
958,1996,Australia,3.0,56,Wales,9.0,25,Australia,Australia,False
971,1996,South Africa,2.0,26,New Zealand,1.0,33,South Africa,South Africa,False
